s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,total,Wood and articles of wood; wood charcoal,44Percentage,Cork and articles of cork,45Percentage,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46Percentage,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,47Percentage,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48Percentage,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49Percentage
64,26,5,Finland,59,26,Estonia,,158698608,75064440,47.30%,3427,0.00%,110208,0.07%,14305030,9.01%,67344238,42.44%,1871265,1.18%
64,26,5,Finland,46,3,France,,413833929,141382140,34.16%,557,0.00%,,0.00%,85510528,20.66%,186577916,45.09%,362788,0.09%
64,26,5,Finland,51,10,Germany,,1979582968,256446639,12.95%,2001,0.00%,2400,0.00%,349199199,17.64%,1370894323,69.25%,3038406,0.15%
64,26,5,Finland,23,80,India,,83927649,840192,1.00%,73,0.00%,55,0.00%,14461636,17.23%,68489037,81.60%,136656,0.16%
64,26,5,Finland,31,35,Israel,,112214179,83163410,74.11%,,0.00%,,0.00%,9777091,8.71%,19153725,17.07%,119953,0.11%
64,26,5,Finland,43,12,Italy,,471801831,53319594,11.30%,2719,0.00%,145,0.00%,210097530,44.53%,208068829,44.10%,313014,0.07%
64,26,5,Finland,38,138,Japan,,523636032,373430323,71.31%,8670,0.00%,45265,0.01%,12853883,2.45%,137165154,26.19%,132737,0.03%
64,26,5,Finland,24,-103,Mexico,,84673269,393764,0.47%,,0.00%,,0.00%,33,0.00%,84172081,99.41%,107391,0.13%
64,26,5,Finland,30,-8,Morocco,,91086606,44729574,49.11%,,0.00%,,0.00%,6857522,7.53%,39492876,43.36%,6634,0.01%
64,26,5,Finland,52,5,Netherlands,,287921317,106019510,36.82%,3713,0.00%,29,0.00%,71894858,24.97%,109174935,37.92%,828272,0.29%
64,26,5,Finland,69,15,Norway,,137135372,62676290,45.70%,798,0.00%,3020,0.00%,19859,0.01%,40068268,29.22%,34367137,25.06%
64,26,5,Finland,52,19,Poland,,420768425,54397692,12.93%,17176,0.00%,216,0.00%,67889177,16.13%,293784842,69.82%,4679322,1.11%
64,26,5,Finland,36,128,Rep. of Korea,,93427651,49125389,52.58%,479,0.00%,6466,0.01%,1341568,1.44%,42623327,45.62%,330422,0.35%
64,26,5,Finland,62,97,Russian Federation,,453022264,10832441,2.39%,16207,0.00%,50837,0.01%,17347170,3.83%,413466002,91.27%,11309607,2.50%
64,26,5,Finland,24,45,Saudi Arabia,,126759443,76766004,60.56%,,0.00%,,0.00%,127992,0.10%,49768377,39.26%,97070,0.08%
64,26,5,Finland,40,-4,Spain,,436345675,35041556,8.03%,18,0.00%,,0.00%,76725818,17.58%,324299667,74.32%,278616,0.06%
64,26,5,Finland,63,17,Sweden,,598930261,179359054,29.95%,9005,0.00%,65456,0.01%,69049605,11.53%,316062441,52.77%,34384700,5.74%
64,26,5,Finland,39,35,Turkey,,305040996,23002896,7.54%,27248,0.01%,,0.00%,89706532,29.41%,192183045,63.00%,121275,0.04%
64,26,5,Finland,54,-3,United Kingdom,,1027093220,293083500,28.54%,373,0.00%,562,0.00%,25065739,2.44%,698185670,67.98%,10757376,1.05%
64,26,5,Finland,46,-112,USA,,723315414,20011249,2.77%,5158,0.00%,7101,0.00%,5171870,0.72%,696423778,96.28%,1696258,0.23%
46,3,6,France,28,3,Algeria,,158558988,22397092,14.13%,12600,0.01%,4384,0.00%,341443,0.22%,120005737,75.69%,15797732,9.96%
46,3,6,France,-26,134,Australia,,80367353,43550255,54.19%,2317190,2.88%,12001,0.01%,80444,0.10%,32328579,40.23%,2078884,2.59%
46,3,6,France,48,14,Austria,,104275576,18918504,18.14%,1103861,1.06%,226699,0.22%,7478376,7.17%,71362818,68.44%,5185318,4.97%
46,3,6,France,51,5,Belgium,,1387309341,442475046,31.89%,2723147,0.20%,1102731,0.08%,53851670,3.88%,547236340,39.45%,339920407,24.50%
46,3,6,France,61,-98,Canada,,150386265,9955402,6.62%,30174,0.02%,39698,0.03%,28113,0.02%,42795063,28.46%,97537815,64.86%
46,3,6,France,37,104,China,,248869772,64471182,25.91%,933022,0.37%,1944970,0.78%,89714215,36.05%,83974778,33.74%,7831605,3.15%
46,3,6,France,50,15,Czechia,,84785128,12426060,14.66%,2739128,3.23%,19828,0.02%,2218449,2.62%,58866708,69.43%,8514955,10.04%
46,3,6,France,51,10,Germany,,1866081239,339998603,18.22%,5997267,0.32%,1271667,0.07%,195385912,10.47%,1178042182,63.13%,145385608,7.79%
46,3,6,France,23,80,India,,83107818,3265191,3.93%,142459,0.17%,3618,0.00%,5433360,6.54%,62344608,75.02%,11918582,14.34%
46,3,6,France,43,12,Italy,,1061279452,307526162,28.98%,16906997,1.59%,1769518,0.17%,131571279,12.40%,554183481,52.22%,49322015,4.65%
46,3,6,France,38,138,Japan,,54646035,8827295,16.15%,922038,1.69%,640980,1.17%,3262937,5.97%,22846962,41.81%,18145823,33.21%
46,3,6,France,50,6,Luxembourg,,127436438,28249760,22.17%,597697,0.47%,94193,0.07%,6202,0.00%,79618585,62.48%,18870001,14.81%
46,3,6,France,30,-8,Morocco,,100411424,28777299,28.66%,86827,0.09%,81367,0.08%,170772,0.17%,39194339,39.03%,32100820,31.97%
46,3,6,France,52,5,Netherlands,,528455088,145013287,27.44%,21965,0.00%,256737,0.05%,37841465,7.16%,320223654,60.60%,25097980,4.75%
46,3,6,France,52,19,Poland,,252473790,17973379,7.12%,14842,0.01%,469089,0.19%,1031301,0.41%,219538232,86.95%,13446947,5.33%
46,3,6,France,40,-9,Portugal,,145319842,50718339,34.90%,1830214,1.26%,186811,0.13%,14587411,10.04%,67216117,46.25%,10780950,7.42%
46,3,6,France,36,128,Rep. of Korea,,56108881,1050394,1.87%,7715,0.01%,32021,0.06%,14401051,25.67%,36335772,64.76%,4281928,7.63%
46,3,6,France,62,97,Russian Federation,,68136280,15496118,22.74%,481993,0.71%,32710,0.05%,7600,0.01%,46633788,68.44%,5484071,8.05%
46,3,6,France,40,-4,Spain,,1286771736,318749124,24.77%,16882332,1.31%,2115866,0.16%,215053879,16.71%,675045254,52.46%,58925281,4.58%
46,3,6,France,63,17,Sweden,,66684417,12753977,19.13%,204176,0.31%,81037,0.12%,2004602,3.01%,39719128,59.56%,11921497,17.88%
46,3,6,France,47,8,Switzerland,,535354026,127000403,23.72%,4647401,0.87%,565361,0.11%,11558240,2.16%,179534848,33.54%,212047773,39.61%
46,3,6,France,34,10,Tunisia,,89858037,13028650,14.50%,16207,0.02%,3674781,4.09%,1561052,1.74%,33851254,37.67%,37726093,41.98%
46,3,6,France,39,35,Turkey,,72422845,7668029,10.59%,974687,1.35%,81059,0.11%,5021067,6.93%,50712217,70.02%,7965786,11.00%
46,3,6,France,54,-3,United Kingdom,,833568351,156109163,18.73%,1371450,0.16%,694609,0.08%,2637428,0.32%,601911715,72.21%,70843986,8.50%
46,3,6,France,46,-112,USA,,532314831,214337080,40.27%,4070226,0.76%,598481,0.11%,7457110,1.40%,234927717,44.13%,70924217,13.32%
51,10,7,Germany,48,14,Austria,,3279693286,1037754644,31.64%,4342670,0.13%,10290679,0.31%,288355303,8.79%,1194624695,36.42%,744325295,22.69%
51,10,7,Germany,51,5,Belgium,,1750804951,422506607,24.13%,2124342,0.12%,1921069,0.11%,44524921,2.54%,1150880482,65.73%,128847530,7.36%
51,10,7,Germany,61,-98,Canada,,186420016,92109585,49.41%,54508,0.03%,31556,0.02%,164980,0.09%,80240899,43.04%,13818488,7.41%
51,10,7,Germany,37,104,China,,695275158,252879483,36.37%,984984,0.14%,199368,0.03%,155535046,22.37%,223937569,32.21%,61738708,8.88%
51,10,7,Germany,50,15,Czechia,,1310539581,226935496,17.32%,1513883,0.12%,2117289,0.16%,49123600,3.75%,734233344,56.03%,296615969,22.63%
51,10,7,Germany,56,10,Denmark,,828683492,324980169,39.22%,730112,0.09%,865250,0.10%,10683567,1.29%,360845570,43.54%,130578824,15.76%
51,10,7,Germany,64,26,Finland,,184761546,53109332,28.74%,168088,0.09%,801637,0.43%,8689083,4.70%,105408500,57.05%,16584906,8.98%
51,10,7,Germany,46,3,France,,3540121259,794317130,22.44%,4562510,0.13%,3926375,0.11%,129541112,3.66%,2153920409,60.84%,453853723,12.82%
51,10,7,Germany,47,19,Hungary,,385962851,95451811,24.73%,545547,0.14%,879884,0.23%,5225151,1.35%,255221306,66.13%,28639152,7.42%
51,10,7,Germany,23,80,India,,214078589,67411690,31.49%,94965,0.04%,168797,0.08%,20581860,9.61%,116965984,54.64%,8855293,4.14%
51,10,7,Germany,43,12,Italy,,1942729322,406022871,20.90%,1468826,0.08%,3185218,0.16%,92273472,4.75%,1250068752,64.35%,189710183,9.77%
51,10,7,Germany,38,138,Japan,,215138705,96932461,45.06%,130446,0.06%,39178,0.02%,17162236,7.98%,79276965,36.85%,21597419,10.04%
51,10,7,Germany,50,6,Luxembourg,,241312102,112243473,46.51%,900569,0.37%,347213,0.14%,780113,0.32%,73006554,30.25%,54034180,22.39%
51,10,7,Germany,24,-103,Mexico,,206997906,37878917,18.30%,12439,0.01%,53446,0.03%,4959847,2.40%,152617619,73.73%,11475638,5.54%
51,10,7,Germany,52,5,Netherlands,,2985490317,684374531,22.92%,1172029,0.04%,5130809,0.17%,190853986,6.39%,1845372178,61.81%,258586784,8.66%
51,10,7,Germany,69,15,Norway,,190779391,64150104,33.63%,316349,0.17%,548131,0.29%,1969257,1.03%,86746661,45.47%,37048889,19.42%
51,10,7,Germany,52,19,Poland,,2692674339,381204160,14.16%,1152557,0.04%,3653585,0.14%,51931610,1.93%,1845342218,68.53%,409390209,15.20%
51,10,7,Germany,46,25,Romania,,318446931,89025216,27.96%,846451,0.27%,618315,0.19%,8093923,2.54%,205876484,64.65%,13986542,4.39%
51,10,7,Germany,62,97,Russian Federation,,537178527,70456868,13.12%,1920492,0.36%,208512,0.04%,10243818,1.91%,429120140,79.88%,25228697,4.70%
51,10,7,Germany,24,45,Saudi Arabia,,179785263,63679168,35.42%,86911,0.05%,426441,0.24%,1219153,0.68%,97748903,54.37%,16624687,9.25%
51,10,7,Germany,49,19,Slovakia,,245234475,62739195,25.58%,208428,0.08%,819702,0.33%,24943563,10.17%,143081629,58.34%,13441958,5.48%
51,10,7,Germany,46,15,Slovenia,,175953625,58743640,33.39%,137334,0.08%,415902,0.24%,11788441,6.70%,91353798,51.92%,13514510,7.68%
51,10,7,Germany,-29,25,South Africa,,186663502,19701480,10.55%,1100501,0.59%,40630,0.02%,1746622,0.94%,148349947,79.47%,15724322,8.42%
51,10,7,Germany,40,-4,Spain,,963976932,182765231,18.96%,523240,0.05%,2748234,0.29%,23833650,2.47%,629943159,65.35%,124163418,12.88%
51,10,7,Germany,63,17,Sweden,,622618361,163358531,26.24%,524992,0.08%,1861666,0.30%,9638535,1.55%,360915050,57.97%,86319587,13.86%
